chunk_id,combined_text,id,title,title_en,title_ja,year,season,type,rating,tags,char_tags,cast,studio,music_composer,music_style,music_mood_tags,music_instruments,mal_url,anidb_url,image_url,poster_url,synopsis
ani_001,Neon Genesis Evangelion psychological mecha sci-fi classic,1,新世紀エヴァンゲリオン,Neon Genesis Evangelion,新世紀エヴァンゲリオン,1995,fall,TV,8.35,mecha|psychological|sci-fi|drama|dystopia,pilot|android|angel|teenager,Megumi Ogata|Megumi Hayashibara|Yuko Miyamura,Gainax,Shiro Sagisu,orchestral,intense|melancholic|epic,orchestra|choir|electric guitar,https://myanimelist.net/anime/30,https://anidb.net/anime/14,https://cdn.myanimelist.net/images/anime/1314/108941.jpg,https://cdn.myanimelist.net/images/anime/1314/108941l.jpg,"In a post-apocalyptic world, 14-year-old Shinji Ikari is recruited by his estranged father to pilot a giant mecha called an Evangelion to fight mysterious beings known as Angels. As the battles intensify, Shinji and his fellow pilots struggle with deep psychological trauma, loneliness, and questions about identity and existence."
ani_002,Fullmetal Alchemist Brotherhood action adventure fantasy,2,鋼の錬金術師 BROTHERHOOD,Fullmetal Alchemist: Brotherhood,鋼の錬金術師 BROTHERHOOD,2009,spring,TV,9.11,action|adventure|fantasy|drama|military,alchemist|soldier|homunculus|brother,Romi Park|Rie Kugimiya|Shinichiro Miki,Bones,Akira Senju,orchestral,epic|emotional|triumphant,orchestra|piano|brass,https://myanimelist.net/anime/5114,https://anidb.net/anime/6421,https://cdn.myanimelist.net/images/anime/1223/96541.jpg,https://cdn.myanimelist.net/images/anime/1223/96541l.jpg,"After a failed alchemical ritual to resurrect their mother costs Edward his arm and leg and Alphonse his entire body, the Elric brothers set out to find the legendary Philosopher's Stone to restore what they've lost. Their journey uncovers a vast government conspiracy and the dark truth behind alchemy itself."
ani_003,Attack on Titan dark fantasy action post-apocalyptic,3,進撃の巨人,Attack on Titan,進撃の巨人,2013,spring,TV,9.0,action|dark fantasy|mystery|drama|military,soldier|titan|survey corps|hero,Yuki Kaji|Marina Inoue|Hiroshi Kamiya,Wit Studio,Hiroyuki Sawano,epic orchestral,intense|dark|heroic,orchestra|choir|electric guitar|drums,https://myanimelist.net/anime/16498,https://anidb.net/anime/9541,https://cdn.myanimelist.net/images/anime/10/47347.jpg,https://cdn.myanimelist.net/images/anime/10/47347l.jpg,"Humanity lives within enormous walled cities to protect themselves from the Titans — gigantic humanoid creatures that devour people without reason. When a colossal Titan breaches the outer wall, young Eren Yeager vows to exterminate every Titan and uncover the terrifying secrets of their world."
ani_004,Death Note psychological thriller supernatural crime,4,デスノート,Death Note,デスノート,2006,fall,TV,8.62,psychological|thriller|supernatural|mystery|crime,genius|detective|shinigami|vigilante,Mamoru Miyano|Kappei Yamaguchi|Shidou Nakamura,Madhouse,Yoshihisa Hirano,dramatic orchestral,tense|mysterious|dark,orchestra|choir|piano,https://myanimelist.net/anime/1535,https://anidb.net/anime/4563,https://cdn.myanimelist.net/images/anime/9/9453.jpg,https://cdn.myanimelist.net/images/anime/9/9453l.jpg,"When honor student Light Yagami discovers a supernatural notebook that kills anyone whose name is written in it, he resolves to use it to rid the world of criminals and become the god of a new, perfect world. A brilliant detective known only as L races to unmask the mysterious killer before Light's vision of justice becomes unstoppable."
ani_005,One Piece adventure shounen pirate fantasy long running,5,ONE PIECE,One Piece,ワンピース,1999,fall,TV,8.72,adventure|fantasy|comedy|action|shounen,pirate|devil fruit user|navigator|swordsman,Mayumi Tanaka|Kazuya Nakai|Akemi Okamura,Toei Animation,Kohei Tanaka,adventure,exciting|fun|emotional,brass|percussion|orchestra,https://myanimelist.net/anime/21,https://anidb.net/anime/69,https://cdn.myanimelist.net/images/anime/6/73245.jpg,https://cdn.myanimelist.net/images/anime/6/73245l.jpg,"Monkey D. Luffy sets sail to find the legendary One Piece treasure and become King of the Pirates, assembling a crew of uniquely skilled companions along the way. Their epic journey across the seas is filled with fierce rivals, powerful enemies, and the unbreakable bonds of friendship."
ani_006,Naruto ninja action adventure friendship shounen,6,ナルト,Naruto,ナルト,2002,fall,TV,7.97,action|adventure|martial arts|shounen|ninja,ninja|jinchuriki|sensei|rival,Junko Takeuchi|Chie Nakamura|Noriaki Sugiyama,Pierrot,Toshio Masuda,traditional japanese,energetic|emotional|adventurous,shamisen|taiko|orchestra,https://myanimelist.net/anime/20,https://anidb.net/anime/239,https://cdn.myanimelist.net/images/anime/13/17405.jpg,https://cdn.myanimelist.net/images/anime/13/17405l.jpg,"Naruto Uzumaki, a young ninja shunned by his village for harboring a powerful demon fox, dreams of becoming the greatest ninja — the Hokage — to earn respect and acknowledgment. Through relentless training, fierce battles, and forging deep friendships, he grows from an outcast into a hero who changes the ninja world."
ani_007,Dragon Ball Z action power fantasy iconic classic,7,ドラゴンボールZ,Dragon Ball Z,ドラゴンボールZ,1989,spring,TV,8.16,action|adventure|fantasy|martial arts|shounen,saiyan|warrior|alien|android,Masako Nozawa|Ryou Horikawa|Toshio Furukawa,Toei Animation,Shunsuke Kikuchi,action,epic|intense|triumphant,orchestra|electric guitar|brass,https://myanimelist.net/anime/813,https://anidb.net/anime/96,https://cdn.myanimelist.net/images/anime/1277/142022.jpg,https://cdn.myanimelist.net/images/anime/1277/142022l.jpg,"Picking up after Dragon Ball, the story follows an adult Goku defending Earth alongside his son Gohan and allies against increasingly powerful alien and supernatural threats. Each saga raises the stakes as characters push beyond their limits with transformations and battles of cosmic scale."
ani_008,Steins Gate sci-fi time travel thriller romance,8,シュタインズ・ゲート,Steins;Gate,シュタインズ・ゲート,2011,spring,TV,9.07,sci-fi|thriller|romance|drama|time travel,mad scientist|lab member|tsundere|hacker,Mamoru Miyano|Asami Imai|Kana Hanazawa,White Fox,Takeshi Abo,atmospheric,mysterious|emotional|tense,piano|synthesizer|strings,https://myanimelist.net/anime/9253,https://anidb.net/anime/7922,https://cdn.myanimelist.net/images/anime/5/73199.jpg,https://cdn.myanimelist.net/images/anime/5/73199l.jpg,"Self-proclaimed mad scientist Rintaro Okabe accidentally discovers time travel using a microwave and a phone, allowing him to send messages to the past. As he and his lab members manipulate timelines to save lives, Okabe is pulled into a deadly conspiracy where every choice collapses into tragedy."
ani_009,Hunter x Hunter adventure battle shounen friendship,9,HUNTER×HUNTER,Hunter x Hunter (2011),HUNTER×HUNTER (2011),2011,fall,TV,9.04,action|adventure|fantasy|shounen|martial arts,hunter|nen user|assassin|clown,Megumi Han|Mariya Ise|Keiji Fujiwara,Madhouse,Yoshihisa Hirano,adventure orchestral,exciting|mysterious|dark,orchestra|piano|electric guitar,https://myanimelist.net/anime/11061,https://anidb.net/anime/8229,https://cdn.myanimelist.net/images/anime/1337/99013.jpg,https://cdn.myanimelist.net/images/anime/1337/99013l.jpg,"Gon Freecss leaves his island home to become a Hunter — an elite professional licensed to pursue criminals, treasure, and rare beasts — and search for his missing father Ging. Along the way he befriends the calculating Killua and they together face increasingly dangerous and morally complex challenges."
ani_010,Cowboy Bebop space western noir jazz classic,10,カウボーイビバップ,Cowboy Bebop,カウボーイビバップ,1998,spring,TV,8.75,space|action|noir|sci-fi|drama,bounty hunter|hacker|gambler|ex-assassin,Koichi Yamadera|Unshou Ishizuka|Megumi Hayashibara,Sunrise,Yoko Kanno,jazz fusion,cool|melancholic|energetic,trumpet|saxophone|electric guitar|bass,https://myanimelist.net/anime/1,https://anidb.net/anime/23,https://cdn.myanimelist.net/images/anime/4/19644.jpg,https://cdn.myanimelist.net/images/anime/4/19644l.jpg,"In a future where humanity has colonized the solar system, bounty hunter Spike Spiegel and his ragtag crew aboard the spaceship Bebop chase criminals across the stars. Beneath the jazz-soaked adventures lies each crew member's painful, unresolved past slowly catching up with them."
ani_011,Sword Art Online isekai virtual reality fantasy adventure,11,ソードアート・オンライン,Sword Art Online,ソードアート・オンライン,2012,summer,TV,7.2,action|fantasy|romance|adventure|isekai,gamer|solo player|guild leader|fairy,Yoshitsugu Matsuoka|Haruka Tomatsu|Kanae Ito,A-1 Pictures,Yuki Kajiura,orchestral fantasy,epic|romantic|exciting,orchestra|piano|choir,https://myanimelist.net/anime/11757,https://anidb.net/anime/8692,https://cdn.myanimelist.net/images/anime/11/39717.jpg,https://cdn.myanimelist.net/images/anime/11/39717l.jpg,"When 10,000 players are trapped inside the virtual reality MMO Sword Art Online with death in-game meaning death in real life, young gamer Kirito must fight his way to the top floor to clear the game and free everyone. Along the way he forms bonds and confronts the blurred line between virtual and real."
ani_012,Demon Slayer dark fantasy action supernatural,12,鬼滅の刃,Demon Slayer: Kimetsu no Yaiba,鬼滅の刃,2019,spring,TV,8.54,action|dark fantasy|supernatural|historical|shounen,demon slayer|demon|pillar|thunder breathing user,Natsuki Hanae|Akari Kito|Yoshitsugu Matsuoka,ufotable,Go Shiina,dramatic orchestral,epic|emotional|intense,orchestra|taiko|choir,https://myanimelist.net/anime/38000,https://anidb.net/anime/14833,https://cdn.myanimelist.net/images/anime/1286/99889.jpg,https://cdn.myanimelist.net/images/anime/1286/99889l.jpg,"After his mother is killed by a demon and his younger sister Nezuko is transformed into one, Tanjiro Kamado joins the Demon Slayer Corps to find a cure and avenge his family. His journey demands mastery of swordsmanship and breathing techniques as he faces increasingly powerful demonic adversaries."
ani_013,My Hero Academia superhero action school shounen,13,僕のヒーローアカデミア,My Hero Academia,僕のヒーローアカデミア,2016,spring,TV,7.92,action|school|shounen|superpower|comedy,hero|villain|student|teacher,Daiki Yamashita|Nobuhiko Okamoto|Kenta Miyake,Bones,Yuuki Hayashi,heroic orchestral,inspiring|epic|energetic,orchestra|electric guitar|brass,https://myanimelist.net/anime/31964,https://anidb.net/anime/11887,https://cdn.myanimelist.net/images/anime/10/78745.jpg,https://cdn.myanimelist.net/images/anime/10/78745l.jpg,"In a world where most people possess superpowers called Quirks, the Quirkless boy Izuku Midoriya inherits the greatest power from the greatest hero and enrolls in a prestigious hero academy. He and his classmates train to become professional heroes while facing real villains who threaten the peace."
ani_014,Re:Zero isekai dark fantasy time loop psychological,14,Re:ゼロから始める異世界生活,Re:Zero - Starting Life in Another World,Re:ゼロから始める異世界生活,2016,spring,TV,8.26,isekai|fantasy|psychological|drama|dark,isekai protagonist|spirit|maid|witch,Yusuke Kobayashi|Rie Takahashi|Inori Minase,White Fox,Kenichiro Suehiro,dramatic,dark|emotional|tense,orchestra|piano|strings,https://myanimelist.net/anime/31240,https://anidb.net/anime/11749,https://cdn.myanimelist.net/images/anime/1522/128039.jpg,https://cdn.myanimelist.net/images/anime/1522/128039l.jpg,"When Subaru Natsuki is suddenly transported to a fantasy world, he discovers he has the ability to return from death — rewinding time each time he dies. He uses this painful power repeatedly to protect those he loves, but each loop reveals darker truths about the world and himself."
ani_015,Violet Evergarden drama romance emotional war aftermath,15,ヴァイオレット・エヴァーガーデン,Violet Evergarden,ヴァイオレット・エヴァーガーデン,2018,winter,TV,8.67,drama|romance|slice of life|fantasy|military,auto memory doll|war veteran|letter writer|soldier,Yui Ishikawa|Daisuke Namikawa|Minami Takahashi,Kyoto Animation,Evan Call,classical orchestral,emotional|melancholic|beautiful,piano|violin|orchestra,https://myanimelist.net/anime/33352,https://anidb.net/anime/13514,https://cdn.myanimelist.net/images/anime/1795/95088.jpg,https://cdn.myanimelist.net/images/anime/1795/95088l.jpg,"After the war, former child soldier Violet Evergarden begins working as an Auto Memory Doll — a ghostwriter who transcribes people's feelings into letters. As she fulfills requests from clients navigating grief, love, and loss, she slowly learns to understand the meaning of the last words her beloved major ever said to her."
